Designator,Mid X,Mid Y,Rotation,Layer
C1,127.0,-80.772,0.0,top
C2,127.0,-89.027,0.0,top
D1,123.444,-96.571,0.0,top
D2,128.524,-96.571,0.0,top
D3,137.669,-96.012,0.0,top
D4,123.444,-91.694,0.0,top
D5,128.524,-91.694,0.0,top
D6,127.0,-78.613,180.0,top
D7,134.493,-78.613,180.0,top
D8,121.031,-89.154,180.0,top
D9,121.158,-87.122,0.0,top
J1,121.793,-103.683,0.0,top
J2,134.279,-103.683,0.0,top
J3,134.987,-60.452,180.0,top
Q1,121.158,-78.9155,90.0,top
R1,139.446,-88.646,0.0,top
R10,135.128,-66.294,180.0,top
R11,121.174,-81.788,0.0,top
R12,121.067,-85.344,0.0,top
R13,134.62,-91.059,0.0,top
R14,139.208,-91.44,0.0,top
R15,121.174,-83.566,0.0,top
R2,134.62,-93.091,180.0,top
R3,134.62,-86.995,0.0,top
R4,139.446,-84.963,180.0,top
R5,127.0,-86.995,0.0,top
R6,134.62,-89.027,0.0,top
R7,127.016,-76.835,180.0,top
R8,134.493,-76.835,180.0,top
R9,127.508,-66.294,180.0,top
U1,127.0,-84.074,-90.0,top
U2,133.858,-83.058,0.0,top
U3,134.62,-71.501,90.0,top
U4,127.0,-71.501,90.0,top
